Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri Nov 20 2009,10:30p,Denver Nuggets,99,Los Angeles Clippers,106,Box Score,,18155,
Fri Nov 20 2009,8:30p,Charlotte Bobcats,88,Milwaukee Bucks,95,Box Score,,15578,
Fri Nov 20 2009,8:00p,Washington Wizards,108,Oklahoma City Thunder,127,Box Score,,18203,
Fri Nov 20 2009,7:00p,Memphis Grizzlies,102,Philadelphia 76ers,97,Box Score,,14269,
Fri Nov 20 2009,7:00p,Miami Heat,113,Toronto Raptors,120,Box Score,,19800,
Sat Nov 21 2009,7:30p,Philadelphia 76ers,91,Cleveland Cavaliers,97,Box Score,,20562,
Sat Nov 21 2009,9:00p,Chicago Bulls,93,Denver Nuggets,112,Box Score,,19359,
Sat Nov 21 2009,8:30p,Sacramento Kings,106,Houston Rockets,113,Box Score,,16202,
Sat Nov 21 2009,8:00p,Milwaukee Bucks,103,Memphis Grizzlies,98,Box Score,,11209,
Sat Nov 21 2009,1:00p,New York Knicks,98,New Jersey Nets,91,Box Score,,14050,
Sat Nov 21 2009,8:00p,Atlanta Hawks,88,New Orleans Hornets,96,Box Score,,15933,
Sat Nov 21 2009,10:00p,Minnesota Timberwolves,78,Portland Trail Blazers,106,Box Score,,20453,
Sat Nov 21 2009,8:30p,Washington Wizards,84,San Antonio Spurs,106,Box Score,,16888,
Sat Nov 21 2009,9:00p,Detroit Pistons,97,Utah Jazz,100,Box Score,OT,18355,
Sun Nov 22 2009,5:00p,Indiana Pacers,88,Charlotte Bobcats,104,Box Score,,14730,
Sun Nov 22 2009,9:30p,Oklahoma City Thunder,85,Los Angeles Lakers,101,Box Score,,18997,
Sun Nov 22 2009,6:00p,New Orleans Hornets,101,Miami Heat,102,Box Score,,16500,
Sun Nov 22 2009,1:00p,Boston Celtics,107,New York Knicks,105,Box Score,OT,19763,
Sun Nov 22 2009,8:00p,Detroit Pistons,91,Phoenix Suns,117,Box Score,,18422,
Sun Nov 22 2009,12:30p,Orlando Magic,104,Toronto Raptors,96,Box Score,,17233,
Mon Nov 23 2009,10:30p,Minnesota Timberwolves,87,Los Angeles Clippers,91,Box Score,,13815,
Mon Nov 23 2009,8:00p,Sacramento Kings,105,Memphis Grizzlies,116,Box Score,,10109,
Mon Nov 23 2009,10:00p,Chicago Bulls,98,Portland Trail Blazers,122,Box Score,,20383,
Mon Nov 23 2009,8:30p,Milwaukee Bucks,98,San Antonio Spurs,112,Box Score,,17677,
Tue Nov 24 2009,8:30p,Golden State Warriors,111,Dallas Mavericks,103,Box Score,,20008,
Tue Nov 24 2009,9:00p,New Jersey Nets,87,Denver Nuggets,101,Box Score,,16307,
Tue Nov 24 2009,10:30p,New York Knicks,90,Los Angeles Lakers,100,Box Score,,18997,
Tue Nov 24 2009,7:00p,Indiana Pacers,112,Toronto Raptors,123,Box Score,,17136,
Tue Nov 24 2009,9:00p,Oklahoma City Thunder,104,Utah Jazz,94,Box Score,,17937,
Tue Nov 24 2009,7:00p,Philadelphia 76ers,107,Washington Wizards,108,Box Score,,14485,
Wed Nov 25 2009,7:30p,Philadelphia 76ers,110,Boston Celtics,113,Box Score,,18624,
Wed Nov 25 2009,7:00p,Toronto Raptors,81,Charlotte Bobcats,116,Box Score,,13689,
Wed Nov 25 2009,8:00p,Cleveland Cavaliers,98,Detroit Pistons,88,Box Score,,22076,
Wed Nov 25 2009,8:30p,Dallas Mavericks,130,Houston Rockets,99,Box Score,,18157,
Wed Nov 25 2009,7:00p,Los Angeles Clippers,73,Indiana Pacers,86,Box Score,,12356,
Wed Nov 25 2009,8:00p,Denver Nuggets,124,Minnesota Timberwolves,111,Box Score,,13101,
Wed Nov 25 2009,8:00p,Milwaukee Bucks,99,New Orleans Hornets,102,Box Score,OT,14315,
Wed Nov 25 2009,7:30p,Miami Heat,99,Orlando Magic,98,Box Score,,17461,
Wed Nov 25 2009,9:00p,Memphis Grizzlies,111,Phoenix Suns,126,Box Score,,18284,
Wed Nov 25 2009,10:00p,New Jersey Nets,83,Portland Trail Blazers,93,Box Score,,20322,
Wed Nov 25 2009,10:00p,New York Knicks,97,Sacramento Kings,111,Box Score,,11375,
Wed Nov 25 2009,8:30p,Golden State Warriors,104,San Antonio Spurs,118,Box Score,,17606,
Thu Nov 26 2009,8:00p,Orlando Magic,93,Atlanta Hawks,76,Box Score,,19193,
Thu Nov 26 2009,10:30p,Chicago Bulls,86,Utah Jazz,105,Box Score,,18045,
Fri Nov 27 2009,7:30p,Toronto Raptors,103,Boston Celtics,116,Box Score,,18624,
Fri Nov 27 2009,7:00p,Cleveland Cavaliers,87,Charlotte Bobcats,94,Box Score,,19168,
Fri Nov 27 2009,9:00p,New York Knicks,125,Denver Nuggets,128,Box Score,,19155,
Fri Nov 27 2009,8:00p,Los Angeles Clippers,104,Detroit Pistons,96,Box Score,,18954,
Fri Nov 27 2009,8:30p,San Antonio Spurs,92,Houston Rockets,84,Box Score,,18164,
Fri Nov 27 2009,8:00p,Dallas Mavericks,113,Indiana Pacers,92,Box Score,,16613,
Fri Nov 27 2009,7:00p,Washington Wizards,94,Miami Heat,84,Box Score,,17684,
