Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri Nov 28 1997,Minnesota Timberwolves,84,Denver Nuggets,95,Box Score,,13628,
Fri Nov 28 1997,New York Knicks,78,Detroit Pistons,86,Box Score,,22076,
Fri Nov 28 1997,Chicago Bulls,83,Indiana Pacers,94,Box Score,,16736,
Fri Nov 28 1997,New Jersey Nets,104,Los Angeles Clippers,92,Box Score,,11030,at Anaheim CA
Fri Nov 28 1997,Milwaukee Bucks,90,Orlando Magic,94,Box Score,,17070,
Fri Nov 28 1997,Los Angeles Lakers,95,Philadelphia 76ers,105,Box Score,,20714,
Fri Nov 28 1997,Houston Rockets,98,Portland Trail Blazers,89,Box Score,,21174,
Fri Nov 28 1997,Sacramento Kings,96,Seattle SuperSonics,113,Box Score,,17072,
Fri Nov 28 1997,Golden State Warriors,82,Utah Jazz,111,Box Score,,19911,
Sat Nov 29 1997,Charlotte Hornets,80,Atlanta Hawks,98,Box Score,,21938,
Sat Nov 29 1997,Boston Celtics,97,Cleveland Cavaliers,103,Box Score,,19349,
Sat Nov 29 1997,Houston Rockets,107,Golden State Warriors,100,Box Score,,12578,
Sat Nov 29 1997,Utah Jazz,94,Los Angeles Clippers,91,Box Score,,14956,
Sat Nov 29 1997,Milwaukee Bucks,93,Miami Heat,87,Box Score,,14897,
Sat Nov 29 1997,Vancouver Grizzlies,87,Minnesota Timberwolves,106,Box Score,,17494,
Sat Nov 29 1997,Phoenix Suns,80,New York Knicks,102,Box Score,,19763,
Sat Nov 29 1997,Dallas Mavericks,87,San Antonio Spurs,96,Box Score,,16270,
Sat Nov 29 1997,Chicago Bulls,88,Washington Wizards,83,Box Score,,18756,at Landover MD
Sun Nov 30 1997,San Antonio Spurs,96,Atlanta Hawks,108,Box Score,,15294,
Sun Nov 30 1997,Vancouver Grizzlies,97,Detroit Pistons,95,Box Score,,16030,
Sun Nov 30 1997,Philadelphia 76ers,89,Indiana Pacers,101,Box Score,,13368,
Sun Nov 30 1997,Toronto Raptors,99,Los Angeles Lakers,105,Box Score,,14940,
Sun Nov 30 1997,New Jersey Nets,87,Sacramento Kings,73,Box Score,,12897,
Sun Nov 30 1997,Orlando Magic,81,Seattle SuperSonics,103,Box Score,,17072,
Mon Dec 1 1997,New Jersey Nets,95,Utah Jazz,100,Box Score,,19911,
Tue Dec 2 1997,Sacramento Kings,102,Charlotte Hornets,121,Box Score,,21166,
Tue Dec 2 1997,Atlanta Hawks,112,Dallas Mavericks,79,Box Score,,10170,
Tue Dec 2 1997,Denver Nuggets,101,Houston Rockets,112,Box Score,,16285,
Tue Dec 2 1997,Phoenix Suns,90,Milwaukee Bucks,86,Box Score,,13131,
Tue Dec 2 1997,Orlando Magic,89,Portland Trail Blazers,88,Box Score,,19677,
Tue Dec 2 1997,New York Knicks,84,San Antonio Spurs,90,Box Score,,14967,
Tue Dec 2 1997,Seattle SuperSonics,78,Washington Wizards,95,Box Score,,20674,
Wed Dec 3 1997,Chicago Bulls,97,Boston Celtics,87,Box Score,,18624,
Wed Dec 3 1997,Los Angeles Lakers,107,Denver Nuggets,89,Box Score,,14503,
Wed Dec 3 1997,Phoenix Suns,103,Detroit Pistons,108,Box Score,3OT,15548,
Wed Dec 3 1997,Cleveland Cavaliers,95,Golden State Warriors,67,Box Score,,10565,
Wed Dec 3 1997,Philadelphia 76ers,90,Miami Heat,94,Box Score,,14312,
Wed Dec 3 1997,Indiana Pacers,94,Minnesota Timberwolves,90,Box Score,,16559,
Wed Dec 3 1997,Seattle SuperSonics,93,New Jersey Nets,89,Box Score,,15259,
Wed Dec 3 1997,Toronto Raptors,98,Utah Jazz,115,Box Score,,19590,
Wed Dec 3 1997,Orlando Magic,101,Vancouver Grizzlies,97,Box Score,,15069,
Thu Dec 4 1997,New York Knicks,91,Dallas Mavericks,105,Box Score,,12666,
Thu Dec 4 1997,Atlanta Hawks,87,Houston Rockets,94,Box Score,,16285,
Thu Dec 4 1997,San Antonio Spurs,96,Los Angeles Clippers,100,Box Score,OT,5302,
Thu Dec 4 1997,Charlotte Hornets,92,Milwaukee Bucks,102,Box Score,,13898,
Thu Dec 4 1997,Sacramento Kings,96,Washington Wizards,118,Box Score,,18230,
Fri Dec 5 1997,Milwaukee Bucks,62,Chicago Bulls,84,Box Score,,24041,
Fri Dec 5 1997,Indiana Pacers,96,Denver Nuggets,85,Box Score,,11215,
Fri Dec 5 1997,Seattle SuperSonics,94,Detroit Pistons,89,Box Score,,18424,
Fri Dec 5 1997,Orlando Magic,89,Golden State Warriors,104,Box Score,,10084,
Fri Dec 5 1997,San Antonio Spurs,88,Los Angeles Lakers,98,Box Score,,17505,
Fri Dec 5 1997,Boston Celtics,97,Miami Heat,117,Box Score,,14937,
Fri Dec 5 1997,Sacramento Kings,90,Minnesota Timberwolves,101,Box Score,,16151,
Fri Dec 5 1997,Philadelphia 76ers,88,New Jersey Nets,107,Box Score,,17845,
Fri Dec 5 1997,Toronto Raptors,91,Phoenix Suns,110,Box Score,,19023,
Fri Dec 5 1997,Utah Jazz,77,Portland Trail Blazers,94,Box Score,,19545,
Fri Dec 5 1997,Cleveland Cavaliers,107,Vancouver Grizzlies,98,Box Score,,15558,
Sat Dec 6 1997,Houston Rockets,108,Dallas Mavericks,106,Box Score,,20635,at Mexico City Mexico
Sat Dec 6 1997,Orlando Magic,83,Los Angeles Clippers,79,Box Score,,8757,
Sat Dec 6 1997,Charlotte Hornets,79,New York Knicks,90,Box Score,,19763,
Sat Dec 6 1997,Minnesota Timberwolves,103,Washington Wizards,114,Box Score,,20674,
Sun Dec 7 1997,Los Angeles Clippers,92,Denver Nuggets,100,Box Score,,7507,
Sun Dec 7 1997,Cleveland Cavaliers,94,Los Angeles Lakers,84,Box Score,,16945,
Sun Dec 7 1997,Seattle SuperSonics,91,Milwaukee Bucks,97,Box Score,,15806,
Sun Dec 7 1997,New York Knicks,78,Philadelphia 76ers,93,Box Score,,20037,
Sun Dec 7 1997,Indiana Pacers,99,Phoenix Suns,97,Box Score,OT,19023,
Sun Dec 7 1997,Golden State Warriors,84,Sacramento Kings,99,Box Score,,12226,
Sun Dec 7 1997,Detroit Pistons,93,Toronto Raptors,83,Box Score,,16829,
Mon Dec 8 1997,New Jersey Nets,97,Miami Heat,105,Box Score,,14387,
Mon Dec 8 1997,Philadelphia 76ers,86,Orlando Magic,95,Box Score,,16824,
Mon Dec 8 1997,Los Angeles Lakers,99,Portland Trail Blazers,105,Box Score,,20721,
Mon Dec 8 1997,Indiana Pacers,97,Utah Jazz,106,Box Score,,19911,
Tue Dec 9 1997,Miami Heat,97,Atlanta Hawks,81,Box Score,,9156,at Atlanta GA (Alexander Memorial Coliseum at McDonald's Center)
Tue Dec 9 1997,New York Knicks,82,Chicago Bulls,100,Box Score,,24107,
Tue Dec 9 1997,Los Angeles Clippers,99,Dallas Mavericks,92,Box Score,,9532,
Tue Dec 9 1997,Denver Nuggets,83,Detroit Pistons,92,Box Score,,14856,
Tue Dec 9 1997,San Antonio Spurs,78,Houston Rockets,108,Box Score,,16285,
Tue Dec 9 1997,Seattle SuperSonics,108,Minnesota Timberwolves,99,Box Score,,15073,
Tue Dec 9 1997,Vancouver Grizzlies,85,Phoenix Suns,107,Box Score,,19023,
Tue Dec 9 1997,Utah Jazz,101,Sacramento Kings,113,Box Score,,13624,
Tue Dec 9 1997,Charlotte Hornets,95,Toronto Raptors,82,Box Score,,16325,
Tue Dec 9 1997,New Jersey Nets,99,Washington Wizards,120,Box Score,,17351,
Wed Dec 10 1997,Milwaukee Bucks,91,Boston Celtics,96,Box Score,,17012,
Wed Dec 10 1997,Washington Wizards,101,Charlotte Hornets,104,Box Score,,21155,
Wed Dec 10 1997,Denver Nuggets,83,Cleveland Cavaliers,102,Box Score,,15353,
Wed Dec 10 1997,Los Angeles Lakers,92,Golden State Warriors,93,Box Score,,13414,
Wed Dec 10 1997,Chicago Bulls,98,Orlando Magic,106,Box Score,,17248,
Wed Dec 10 1997,Toronto Raptors,104,Philadelphia 76ers,97,Box Score,,11833,
Wed Dec 10 1997,Indiana Pacers,85,Portland Trail Blazers,93,Box Score,,19803,
Wed Dec 10 1997,Los Angeles Clippers,87,San Antonio Spurs,102,Box Score,,14982,
Thu Dec 11 1997,Orlando Magic,100,Dallas Mavericks,90,Box Score,,10671,
Thu Dec 11 1997,New Jersey Nets,99,Detroit Pistons,103,Box Score,,14365,
Thu Dec 11 1997,Cleveland Cavaliers,79,Milwaukee Bucks,77,Box Score,,13105,
Thu Dec 11 1997,Minnesota Timberwolves,103,New York Knicks,107,Box Score,,19763,
Thu Dec 11 1997,Atlanta Hawks,78,Phoenix Suns,94,Box Score,,19023,
Fri Dec 12 1997,Washington Wizards,88,Boston Celtics,97,Box Score,,17500,
Fri Dec 12 1997,Chicago Bulls,77,Charlotte Hornets,79,Box Score,,24042,
Fri Dec 12 1997,Miami Heat,89,Indiana Pacers,104,Box Score,,14159,
